,fips,Sex ratio,Population under 5,Population 5 to 9,Population 10 to 14,Population 15 to 19,Population 20 to 24,Population 25 to 34,Population 35 to 44,Population 45 to 54,Population 55 to 59,Population 60 to 64,Population 65 to 74,Population 75 to 84,Population over 85,Population White (including Hispanic),Population Black,Population Native American,Population Asian,Population Mixed,Population Hispanic,Population White (not Hispanic),Total Housing Units,Poverty Rate,Disability Rate,Less than high school graduate,Some college or associate's degree,Bachelor's degree or higher,High school graduate (or equivalency),LFPR rate total,LFPR 16 to 19 years,LFPR 20 to 24 years,LFPR 25 to 29 years,LFPR 30 to 34 years,LFPR 35 to 44 years,LFPR 45 to 54 years,LFPR 55 to 59 years,LFPR 60 to 64 years,LFPR 65 to 74 years,LFPR 75 years and over,LFPR White,LFPR Black,LFPR Hispanic,Unemployment rate total,Unemployment rate 16 to 19,Unemployment rate 20 to 24,Unemployment rate 25 to 29,Unemployment rate 30 to 34,Unemployment rate 35 to 44,Unemployment rate 45 to 54,Unemployment rate 55 to 59,Unemployment rate 60 to 64,Unemployment rate 65 to 74,Unemployment rate 75 years and over,Unemployment rate White,Unemployment rate Hispanic,Unemployment rate Black,Unemployment rate Male,Unemployment rate Female,Total Population,STEM,Service,Office,Infrastructure,Supply Chain,Margin,Result
2591,48197,94.6,5.0,5.3,7.1,5.2,7.2,11.6,10.0,13.5,6.3,7.2,12.5,6.0,2.9,87.9,5.9,1.1,0.0,2.3,19.0,71.7,2344,0.0924317617866005,0.15849875930521093,0.11569478908188585,0.2031637717121588,0.07537220843672457,0.20130272952853598,57.2,56.3,71.2,82.1,89.5,71.6,73.4,59.2,30.8,33.0,21.4,54,60.5,69.4,7.7,15.3,23.2,5.5,9.1,9.2,2.6,0.0,15.9,0,0,6.8,2.2,9.6,10.7,5.6,1236,0.3535598705501618,0.16585760517799353,0.1610032362459547,0.20145631067961164,0.11812297734627832,-0.6892405063291139,R
2592,48199,93.1,6.6,7.5,6.5,6.2,5.8,12.4,12.7,12.5,7.3,6.1,10.0,4.9,1.6,91.3,5.8,0.3,0.6,1.4,5.7,86.5,24752,0.08213987685784524,0.10532488328559507,0.06989332190622251,0.22305419608020027,0.11660163738469519,0.24287872978641828,56.3,33.1,76,76.8,78.4,77.9,70.2,59.0,49.3,20.1,5.9,55.8,56,67.6,3.5,11.2,9.2,3.8,4.0,1.6,2.6,1.2,2.8,3.2,0,3.2,0.9,12.6,3.1,3.5,18871,0.3453977001748715,0.11546817868687403,0.2160987758995284,0.1492766679031318,0.1737586773355943,-0.7376153428623123,R
2593,48201,98.8,7.6,7.4,7.5,6.9,6.9,16.2,14.3,12.5,5.6,5.0,6.4,2.8,1.0,62.5,19.0,0.4,7.0,2.4,42.9,29.6,1768096,0.10203433002674515,0.06228338545572898,0.12738845571483154,0.19004853750689854,0.22318875854359177,0.1645998839628115,67.6,32.1,73.8,82.4,82.1,82.2,80.7,73.2,61.4,30.9,8.5,66,67.6,69.3,5.8,20,10.3,5.7,5.1,4.6,4.4,4.5,4.5,4.6,3.5,4.5,5.5,9.2,5.2,5.6,1678990,0.3909159673375065,0.1393814138261693,0.20128291413290134,0.1251758497668241,0.1432438549365988,0.1325942304387202,D
2594,48203,94.4,6.4,6.9,7.6,7.2,6.0,11.6,12.3,12.2,7.2,6.1,9.9,4.6,1.9,74.7,20.7,0.3,0.8,2.0,13.1,63.6,28693,0.10817753399258344,0.07924521013597033,0.0891146477132262,0.20750927070457353,0.1221801606922126,0.2169344870210136,57.1,27.6,65.9,75.1,81.3,78.1,73.9,63.6,59.0,25.6,6.3,56.9,54.6,63.5,5.4,15.7,6.9,5.6,7.8,6.0,4.3,2.1,1.3,5.5,0,5.6,2.4,7.1,6.1,3.7,20641,0.3775495373286178,0.11951940312969334,0.16680393391793033,0.13768712756164914,0.1984399980621094,-0.45623717064306624,R
2595,48205,144.0,5.5,4.7,7.5,4.0,3.0,18.8,18.8,12.2,6.8,3.8,8.0,5.8,1.2,84.8,7.5,0.4,1.4,4.0,26.7,60.0,1939,0.014145810663764961,0.036126224156692054,0.13623503808487486,0.2015233949945593,0.11403699673558215,0.2927094668117519,43.9,42.2,75.6,68.9,39.1,34.3,46,60.2,65.4,23.2,19.5,49.6,0.5,45.4,0.4,0,0,2,0.0,0.0,0,0.0,0.0,0,0,0.5,0,50,0.0,0.8,1547,0.3374272786037492,0.14091790562378798,0.18164188752424046,0.17711700064641242,0.16289592760180996,-0.8051010587102984,R
2596,48207,107.3,4.1,5.7,5.0,7.6,7.6,10.2,12.6,11.8,5.3,7.9,12.3,6.8,3.0,89.3,4.0,0.5,0.3,2.1,28.6,64.7,3469,0.12196639701306783,0.13710848371707116,0.1503837378137316,0.14706492428956647,0.06554656710226094,0.20659614187927816,52.3,22.9,73.5,51.4,57.6,72.9,72.9,61.3,61.2,33.7,12.9,55.4,41.9,43.3,12.2,18.6,39.1,14.1,21.3,9.3,1.2,0.0,7.6,14.3,0,9.4,9.8,9.4,9.8,15.4,1571,0.3068109484404838,0.17250159134309356,0.17122851686823679,0.2507956715467855,0.09866327180140039,-0.6716350496838301,R
2597,48209,99.2,6.1,6.4,6.8,8.5,12.2,14.0,13.3,11.6,5.4,4.9,7.0,2.9,0.8,88.5,4.2,0.4,1.6,2.5,38.9,53.8,78715,0.10724297272893589,0.05955844600376519,0.059452218097694264,0.1844352511404746,0.22824836084439382,0.14776301734465644,68.1,37.9,76.1,86.3,84.3,84.5,82.3,76.2,60.4,27.8,6.7,66.6,63.6,71,4.6,20.6,6.7,7.1,2.6,2.8,2,2.3,2.7,1.6,0,4.4,4.5,8.7,4.3,3.3,77339,0.40659951641474545,0.1394897787662111,0.2304400108612731,0.115258795691695,0.10821189826607533,0.10826820238584944,D
2598,48211,103.6,5.9,8.0,11.6,8.8,4.9,6.8,16.7,11.0,7.5,5.7,8.1,3.7,1.5,90.9,1.0,0.0,0.0,2.4,34.8,63.1,1729,0.046032291308828584,0.10924081071796633,0.12813466162830642,0.20233596702164205,0.11576777739608382,0.20680178632772242,66.6,30.3,89.3,87.5,90.0,68.5,83.8,89.6,72.6,37.2,29.4,65.7,72.7,69.6,5.1,0,0,0,3.9,4.8,12.2,9.0,0.0,0,0,5.7,3.8,0,6.7,4.5,1415,0.32084805653710247,0.09752650176678446,0.20918727915194346,0.26148409893992935,0.11095406360424029,-0.7441860465116279,R
2599,48213,95.0,5.5,5.4,6.6,6.4,5.4,10.9,10.7,12.3,7.2,7.5,12.6,7.2,2.2,89.5,6.7,0.9,0.6,1.4,12.8,78.2,41246,0.1054818409280461,0.10367730684661461,0.09608006672226856,0.19666388657214345,0.09891576313594662,0.2061566456895898,51.5,28.4,62.1,74.6,82.9,76.8,73.6,58.0,46.2,22.0,7.7,50.3,53.9,59.4,5.0,11.5,8.5,11.1,4.6,3.7,4.2,2.4,2.1,3.7,1.2,4.6,5.3,10.9,5.3,4.5,22988,0.3225160953540978,0.15042630937880633,0.20314946928832434,0.16338959457108057,0.16051853140769096,-0.6016741470936476,R
2600,48215,96.0,9.2,8.8,9.5,8.7,7.7,13.4,12.8,10.8,4.2,4.0,6.1,3.5,1.3,86.3,0.5,0.2,1.0,1.7,92.2,6.1,276307,0.17306830268013543,0.08166283191549542,0.18979454445306412,0.16426684575037342,0.12746150499785794,0.1578390198475252,58.4,23.8,65.9,75.9,76.9,76.0,76.2,68.4,50.0,20.9,4.0,41.1,56.2,59.7,6.9,21.5,12.7,8.8,6.6,4.6,4.5,4.6,3.7,3.6,1.9,5.5,7.1,3.6,7.0,5.7,220373,0.3249127615451984,0.18177362925585258,0.2231761604189261,0.1374850821107849,0.13265236666923808,0.1705510584741312,D
